Dup pair: ('그로스마케팅', '퍼포먼스마케팅') count: 2
Dup pair: ('브랜드마케팅', '콘텐츠마케팅') count: 2
Dup pair: ('BX_Design', '브랜드마케팅') count: 2
Dup pair: ('재무회계', '전략_경영기획') count: 2
Dup pair: ('사업개발_BD', '전략_경영기획') count: 2
Dup pair: ('신사업기획', '전략_경영기획') count: 2
Dup pair: ('전략_경영기획', '투자_M&A') count: 2
Dup pair: ('기업가치평가', '투자_M&A') count: 2
Dup pair: ('법무_Legal', '컴플라이언스') count: 2
Dup pair: ('Backend', 'DataEngineering') count: 2
Dup pair: ('Backend', 'DevOps') count: 3
Dup pair: ('Backend', 'Frontend') count: 2
Dup pair: ('Backend', 'DBA') count: 2
Dup pair: ('Frontend', 'Mobile') count: 2
Dup pair: ('Container_Orchestration', 'Kubernetes') count: 2
Dup pair: ('Frontend', 'UIUX_Design') count: 2
Dup pair: ('DevOps', 'MLOps') count: 3
Dup pair: ('DBA', 'DevOps') count: 3
Dup pair: ('DevOps', 'Sys_Software') count: 2
Dup pair: ('DevOps', '정보보안') count: 3
Dup pair: ('Infra_Engineer', '인프라_Cloud') count: 2
Dup pair: ('System_Engineer', '인프라_Cloud') count: 2
Dup pair: ('MLOps', 'MachineLearning') count: 2
Dup pair: ('DataEngineering', 'MLOps') count: 2
Dup pair: ('NPU', 'SoC') count: 2
Dup pair: ('MemorySystem', 'NPU') count: 2
Dup pair: ('Compiler', 'NPU') count: 2
Dup pair: ('NPU', 'Sys_Software') count: 2
Dup pair: ('HW_Hardware', 'SoC') count: 2
Dup pair: ('FW_컨트롤러', 'SoC') count: 2
Dup pair: ('SoC', '반도체_Semiconductor') count: 2
Dup pair: ('Embedded_Linux', 'FW_컨트롤러') count: 2
Dup pair: ('FW_컨트롤러', 'HW_Hardware') count: 2
Dup pair: ('Compiler', 'Sys_Software') count: 3
Dup pair: ('FW_컨트롤러', 'Sys_Software') count: 2
Dup pair: ('SW_Software', 'Sys_Software') count: 2
Dup pair: ('HW_Hardware', '회로설계_PCB') count: 2
Dup pair: ('HW_Hardware', '기구설계') count: 2
Dup pair: ('공정_Yield', '반도체_Semiconductor') count: 2
Dup pair: ('ProductManager', 'UIUX_Design') count: 2
Dup pair: ('ProductDesign', 'UIUX_Design') count: 2
Dup pair: ('BX_Design', 'GraphicDesign') count: 2
Dup pair: ('Game', 'Game_Client') count: 2
Dup pair: ('Game', 'Game_Server') count: 2
Dup pair: ('HRBP', '채용_리크루팅') count: 2
Dup pair: ('보상설계', '조직개발_OD') count: 2
Dup pair: ('HRBP', '조직개발_OD') count: 2
Dup pair: ('교육_L&D', '조직개발_OD') count: 2
Dup pair: ('B2B영업', '해외영업') count: 2
Dup pair: ('B2B영업', '기술영업_PreSales') count: 2
Dup pair: ('B2B영업', '영업기획') count: 2
Dup pair: ('SCM', '물류기획') count: 2
Dup pair: ('SGLang', 'vLLM') count: 2
Dup pair: ('FX_Dealing', 'Treasury') count: 2
Dup pair: ('HVDC', 'Power_System_Analysis') count: 2
Dup pair: ('M&A_Advisory', 'Valuation') count: 2
Dup pair: ('Financial_Due_Diligence', 'M&A_Advisory') count: 2
Dup pair: ('Autonomous_Mobility_Service', 'MaaS') count: 2
Dup pair: ('DataAnalysis', 'Demand_Forecasting') count: 2
Dup pair: ('Corporate_Accounting', 'Financial_Audit') count: 2
Dup pair: ('Financial_Audit', 'KICPA') count: 2
Dup pair: ('Corporate_Accounting', 'Internal_Accounting_Control') count: 2
Dup pair: ('Corporate_Strategy', 'Executive_Leadership') count: 2
Dup pair: ('ComputerVision', 'Object_Detection') count: 2
Dup pair: ('Business_Strategy', 'Management_Consulting') count: 2
Dup pair: ('Radar_System', 'Sensor_Fusion') count: 2
Dup pair: ('LiDAR_System', 'Sensor_Fusion') count: 2
Dup pair: ('Robot_Control_Software', 'Robotics_Engineering') count: 2
Dup pair: ('High_Level_Controller', 'Robot_Control_Software') count: 3
Dup pair: ('Machine_Tending', 'Robot_Control_Software') count: 2
Dup pair: ('Application_Development', 'Kotlin') count: 2
Dup pair: ('Application_Development', 'Coroutine') count: 2
Dup pair: ('Product_Design', 'UX_UI_Design') count: 2
Dup pair: ('Data_Engineering', 'Data_Warehouse_Architecture') count: 2
Dup pair: ('Data_Warehouse_Architecture', 'ETL_Process') count: 2
Dup pair: ('Business_Intelligence_System', 'Data_Analytics') count: 2
Dup pair: ('Corporate_Strategic_Planning', 'Corporate_Strategy') count: 2
Dup pair: ('Corporate_Strategic_Planning', 'KPI_Management') count: 2
Dup pair: ('Investor_Relations', 'NDR') count: 2
Dup pair: ('Corporate_Strategic_Planning', 'Mid_to_Long_Term_Strategy') count: 2
Dup pair: ('Digital_Marketing', 'Performance_Marketing') count: 2
Dup pair: ('Media_Planning', 'Performance_Marketing') count: 2
Dup pair: ('Performance_Marketing', 'ROAS_Optimization') count: 2
