추가 엣지 총 468개

sibling:Marketing_Strategy | Brand_Management                              → B2B_Marketing_Strategy (similar_to, 0.75)
sibling:Marketing_Strategy | Brand_Management                              → CRM_Strategy (similar_to, 0.75)
sibling:Marketing_Strategy | Brand_Management                              → Digital_Campaign_Planning (similar_to, 0.75)
sibling:Marketing_Strategy | Brand_Management                              → Digital_Campaign_Management (similar_to, 0.75)
sibling:Marketing_Strategy | Brand_Management                              → IMC_Strategy (similar_to, 0.75)
sibling:Marketing_Strategy | Brand_Management                              → Growth_Hacking_and_Strategy (similar_to, 0.75)
sibling:Marketing_Strategy | Content_Marketing                             → B2B_Marketing_Strategy (similar_to, 0.75)
sibling:Marketing_Strategy | Content_Marketing                             → CRM_Strategy (similar_to, 0.75)
sibling:Marketing_Strategy | Content_Marketing                             → Digital_Campaign_Planning (similar_to, 0.75)
sibling:Marketing_Strategy | Content_Marketing                             → Digital_Campaign_Management (similar_to, 0.75)
sibling:Marketing_Strategy | Content_Marketing                             → IMC_Strategy (similar_to, 0.75)
sibling:Marketing_Strategy | Content_Marketing                             → Growth_Hacking_and_Strategy (similar_to, 0.75)
sibling:Marketing_Strategy | B2B_Marketing_Strategy                        → CRM_Strategy (similar_to, 0.75)
sibling:Marketing_Strategy | B2B_Marketing_Strategy                        → Digital_Campaign_Planning (similar_to, 0.75)
sibling:Marketing_Strategy | B2B_Marketing_Strategy                        → Digital_Campaign_Management (similar_to, 0.75)
sibling:Marketing_Strategy | B2B_Marketing_Strategy                        → IMC_Strategy (similar_to, 0.75)
sibling:Marketing_Strategy | B2B_Marketing_Strategy                        → Growth_Hacking_and_Strategy (similar_to, 0.75)
sibling:Marketing_Strategy | CRM_Strategy                                  → Digital_Campaign_Planning (similar_to, 0.75)
sibling:Marketing_Strategy | CRM_Strategy                                  → Digital_Campaign_Management (similar_to, 0.75)
sibling:Marketing_Strategy | CRM_Strategy                                  → IMC_Strategy (similar_to, 0.75)
sibling:Marketing_Strategy | CRM_Strategy                                  → Growth_Hacking_and_Strategy (similar_to, 0.75)
sibling:Marketing_Strategy | Digital_Campaign_Planning                     → Digital_Campaign_Management (similar_to, 0.75)
sibling:Marketing_Strategy | Digital_Campaign_Planning                     → IMC_Strategy (similar_to, 0.75)
sibling:Marketing_Strategy | Digital_Campaign_Planning                     → Growth_Hacking_and_Strategy (similar_to, 0.75)
sibling:Marketing_Strategy | Digital_Campaign_Management                   → IMC_Strategy (similar_to, 0.75)
sibling:Marketing_Strategy | Digital_Campaign_Management                   → Growth_Hacking_and_Strategy (similar_to, 0.75)
sibling:Marketing_Strategy | IMC_Strategy                                  → Growth_Hacking_and_Strategy (similar_to, 0.75)
sibling:전략_경영기획      | New_Business_Development                      → Performance_Management (similar_to, 0.75)
sibling:Information_Security | Privacy_Protection                            → Security_Architecture_and_Compliance (similar_to, 0.8)
sibling:Information_Security | Privacy_Protection                            → Data_Privacy_Protection (similar_to, 0.8)
sibling:Information_Security | Privacy_Protection                            → Data_Privacy_and_Compliance (similar_to, 0.8)
sibling:Information_Security | Security_Architecture_and_Compliance          → Data_Privacy_Protection (similar_to, 0.8)
sibling:Information_Security | Security_Architecture_and_Compliance          → Data_Privacy_and_Compliance (similar_to, 0.8)
sibling:Information_Security | Data_Privacy_Protection                       → Data_Privacy_and_Compliance (similar_to, 0.8)
sibling:FinTech      | Core_Banking                                  → Mobile_Payment_Service (similar_to, 0.85)
sibling:FinTech      | Channel_System                                → Mobile_Payment_Service (similar_to, 0.85)
sibling:Backend      | Backend_Java                                  → Backend_Python (similar_to, 0.9)
sibling:Backend      | Backend_Java                                  → Backend_Node (similar_to, 0.9)
sibling:Backend      | Backend_Java                                  → Backend_Go (similar_to, 0.9)
sibling:Backend      | Backend_Java                                  → Fullstack (similar_to, 0.9)
sibling:Backend      | Backend_Python                                → Backend_Node (similar_to, 0.9)
sibling:Backend      | Backend_Python                                → Backend_Go (similar_to, 0.9)
sibling:Backend      | Backend_Python                                → Fullstack (similar_to, 0.9)
sibling:Backend      | Backend_Node                                  → Backend_Go (similar_to, 0.9)
sibling:Backend      | Backend_Node                                  → Fullstack (similar_to, 0.9)
sibling:Backend      | Backend_Go                                    → Fullstack (similar_to, 0.9)
sibling:Frontend     | Frontend_React                                → Frontend_Vue (similar_to, 0.85)
sibling:Frontend     | Frontend_React                                → Fullstack (similar_to, 0.85)
sibling:Frontend     | Frontend_Vue                                  → Fullstack (similar_to, 0.85)
sibling:Backend_Engineering | Backend                                       → Commerce_Backend_Architecture (similar_to, 0.75)
sibling:Backend_Engineering | Frontend                                      → Sys_Software (similar_to, 0.75)
sibling:Backend_Engineering | Frontend                                      → Commerce_Backend_Architecture (similar_to, 0.75)
sibling:Backend_Engineering | Sys_Software                                  → Commerce_Backend_Architecture (similar_to, 0.75)
sibling:인프라_Cloud    | Kubernetes                                    → Infra_Engineer (similar_to, 0.75)
sibling:인프라_Cloud    | Kubernetes                                    → System_Engineer (similar_to, 0.75)
sibling:인프라_Cloud    | Kubernetes                                    → Network_Engineer (similar_to, 0.75)
sibling:인프라_Cloud    | Infra_Engineer                                → System_Engineer (similar_to, 0.75)
sibling:인프라_Cloud    | Infra_Engineer                                → Network_Engineer (similar_to, 0.75)
sibling:인프라_Cloud    | System_Engineer                               → Network_Engineer (similar_to, 0.75)
sibling:Machine_Learning | AI_Core                                       → Anomaly_Detection (similar_to, 0.75)
sibling:Deep_Learning | AI_Core                                       → Deep_Learning_for_Healthcare (similar_to, 0.75)
sibling:Data_Engineering | Data_Core                                     → Data_Pipeline_Construction (similar_to, 0.8)
sibling:Data_Engineering | Data_Core                                     → Data_Warehouse_Architecture (similar_to, 0.8)
sibling:Data_Engineering | Data_Core                                     → Real_Time_Data_Processing (similar_to, 0.8)
sibling:Data_Engineering | Data_Core                                     → Big_Data_Processing (similar_to, 0.8)
sibling:Data_Engineering | Data_Core                                     → Query_Optimization_and_Monitoring (similar_to, 0.8)
sibling:Data_Engineering | Data_Pipeline_Construction                    → Data_Warehouse_Architecture (similar_to, 0.8)
sibling:Data_Engineering | Data_Pipeline_Construction                    → Real_Time_Data_Processing (similar_to, 0.8)
sibling:Data_Engineering | Data_Pipeline_Construction                    → Big_Data_Processing (similar_to, 0.8)
sibling:Data_Engineering | Data_Pipeline_Construction                    → Query_Optimization_and_Monitoring (similar_to, 0.8)
sibling:Data_Engineering | Data_Warehouse_Architecture                   → Real_Time_Data_Processing (similar_to, 0.8)
sibling:Data_Engineering | Data_Warehouse_Architecture                   → Big_Data_Processing (similar_to, 0.8)
sibling:Data_Engineering | Data_Warehouse_Architecture                   → Query_Optimization_and_Monitoring (similar_to, 0.8)
sibling:Data_Engineering | Real_Time_Data_Processing                     → Big_Data_Processing (similar_to, 0.8)
sibling:Data_Engineering | Real_Time_Data_Processing                     → Query_Optimization_and_Monitoring (similar_to, 0.8)
sibling:Data_Engineering | Big_Data_Processing                           → Query_Optimization_and_Monitoring (similar_to, 0.8)
sibling:Data_Analysis | Data_Core                                     → Demand_Forecasting (similar_to, 0.8)
sibling:Data_Analysis | Data_Core                                     → A_B_Testing (similar_to, 0.8)
sibling:Data_Analysis | Data_Core                                     → Causal_Inference (similar_to, 0.8)
sibling:Data_Analysis | Demand_Forecasting                            → A_B_Testing (similar_to, 0.8)
sibling:Data_Analysis | Demand_Forecasting                            → Causal_Inference (similar_to, 0.8)
sibling:Data_Analysis | A_B_Testing                                   → Causal_Inference (similar_to, 0.8)
sibling:Data_Science | Data_Core                                     → Machine_Learning_for_Business (similar_to, 0.75)
sibling:Data_Science | Data_Core                                     → E_Commerce_Data_Analysis (similar_to, 0.75)
sibling:Data_Science | Machine_Learning_for_Business                 → E_Commerce_Data_Analysis (similar_to, 0.75)
sibling:HW_Hardware  | FPGA                                          → Semiconductor_Engineering (similar_to, 0.85)
sibling:Semiconductor_Engineering | SoC                                           → Hardware_Design (similar_to, 0.85)
sibling:Semiconductor_Engineering | SoC                                           → Memory_Semiconductor (similar_to, 0.85)
sibling:Semiconductor_Engineering | SoC                                           → Power_Architecture (similar_to, 0.85)
sibling:Semiconductor_Engineering | SoC                                           → DRAM_and_Memory_Architecture (similar_to, 0.85)
sibling:Semiconductor_Engineering | Hardware_Design                               → Memory_Semiconductor (similar_to, 0.85)
sibling:Semiconductor_Engineering | Hardware_Design                               → Power_Architecture (similar_to, 0.85)
sibling:Semiconductor_Engineering | Hardware_Design                               → DRAM_and_Memory_Architecture (similar_to, 0.85)
sibling:Semiconductor_Engineering | Memory_Semiconductor                          → Power_Architecture (similar_to, 0.85)
sibling:Semiconductor_Engineering | Memory_Semiconductor                          → DRAM_and_Memory_Architecture (similar_to, 0.85)
sibling:Semiconductor_Engineering | Power_Architecture                            → DRAM_and_Memory_Architecture (similar_to, 0.85)
sibling:Sys_Software | 시스템소프트웨어                                      → Embedded_Firmware (similar_to, 0.75)
sibling:Design       | PackageDesign                                 → IndustrialDesign (similar_to, 0.75)
sibling:Design       | PackageDesign                                 → Spatial_Design (similar_to, 0.75)
sibling:Design       | PackageDesign                                 → Product_Design (similar_to, 0.75)
sibling:Design       | PackageDesign                                 → Brand_Experience_Design (similar_to, 0.75)
sibling:Design       | PackageDesign                                 → Brand_and_Visual_Design (similar_to, 0.75)
sibling:Design       | PackageDesign                                 → Brand_Identity_and_Visual_Design (similar_to, 0.75)
sibling:Design       | IndustrialDesign                              → Spatial_Design (similar_to, 0.75)
sibling:Design       | IndustrialDesign                              → Product_Design (similar_to, 0.75)
sibling:Design       | IndustrialDesign                              → Brand_Experience_Design (similar_to, 0.75)
sibling:Design       | IndustrialDesign                              → Brand_and_Visual_Design (similar_to, 0.75)
sibling:Design       | IndustrialDesign                              → Brand_Identity_and_Visual_Design (similar_to, 0.75)
sibling:Design       | Spatial_Design                                → Product_Design (similar_to, 0.75)
sibling:Design       | Spatial_Design                                → Brand_Experience_Design (similar_to, 0.75)
sibling:Design       | Spatial_Design                                → Brand_and_Visual_Design (similar_to, 0.75)
sibling:Design       | Spatial_Design                                → Brand_Identity_and_Visual_Design (similar_to, 0.75)
sibling:Design       | Product_Design                                → Brand_Experience_Design (similar_to, 0.75)
sibling:Design       | Product_Design                                → Brand_and_Visual_Design (similar_to, 0.75)
sibling:Design       | Product_Design                                → Brand_Identity_and_Visual_Design (similar_to, 0.75)
sibling:Design       | Brand_Experience_Design                       → Brand_and_Visual_Design (similar_to, 0.75)
sibling:Design       | Brand_Experience_Design                       → Brand_Identity_and_Visual_Design (similar_to, 0.75)
sibling:Design       | Brand_and_Visual_Design                       → Brand_Identity_and_Visual_Design (similar_to, 0.75)
sibling:Organizational_Development | Learning_and_Development                      → HR_Payroll (similar_to, 0.75)
sibling:B2B_Sales    | Global_Sales_and_Marketing                    → Semiconductor_Sales (similar_to, 0.8)
sibling:B2B_Sales    | Global_Sales_and_Marketing                    → Client_Communication (similar_to, 0.8)
sibling:SCM          | Logistics_and_Supply_Chain                    → Procurement_and_Sourcing (similar_to, 0.8)
sibling:SCM          | Logistics_and_Supply_Chain                    → Logistics_and_Inventory_Optimization (similar_to, 0.8)
sibling:SCM          | Procurement_and_Sourcing                      → Logistics_and_Inventory_Optimization (similar_to, 0.8)
sibling:Financial_Accounting | Treasury                                      → SEC_Filing (similar_to, 0.75)
sibling:Corporate_Accounting | SEC_Filing                                    → Consolidated_Financial_Statements (similar_to, 0.75)
sibling:Corporate_Accounting | SEC_Filing                                    → Internal_Control (similar_to, 0.75)
sibling:Corporate_Accounting | SEC_Filing                                    → Financial_Audit (similar_to, 0.75)
sibling:Corporate_Accounting | SEC_Filing                                    → Internal_Accounting_Control (similar_to, 0.75)
sibling:Corporate_Accounting | SEC_Filing                                    → Management_Accounting (similar_to, 0.75)
sibling:Corporate_Accounting | Consolidated_Financial_Statements             → Internal_Control (similar_to, 0.75)
sibling:Corporate_Accounting | Consolidated_Financial_Statements             → Financial_Audit (similar_to, 0.75)
sibling:Corporate_Accounting | Consolidated_Financial_Statements             → Internal_Accounting_Control (similar_to, 0.75)
sibling:Corporate_Accounting | Consolidated_Financial_Statements             → Management_Accounting (similar_to, 0.75)
sibling:Corporate_Accounting | Internal_Control                              → Financial_Audit (similar_to, 0.75)
sibling:Corporate_Accounting | Internal_Control                              → Internal_Accounting_Control (similar_to, 0.75)
sibling:Corporate_Accounting | Internal_Control                              → Management_Accounting (similar_to, 0.75)
sibling:Corporate_Accounting | Financial_Audit                               → Internal_Accounting_Control (similar_to, 0.75)
sibling:Corporate_Accounting | Financial_Audit                               → Management_Accounting (similar_to, 0.75)
sibling:Corporate_Accounting | Internal_Accounting_Control                   → Management_Accounting (similar_to, 0.75)
sibling:Corporate_Finance | Valuation                                     → Treasury_Management (similar_to, 0.8)
sibling:Corporate_Finance | Valuation                                     → IR_Management (similar_to, 0.8)
sibling:Corporate_Finance | Valuation                                     → Venture_Capital_Fundraising (similar_to, 0.8)
sibling:Corporate_Finance | Valuation                                     → M_and_A_Advisory (similar_to, 0.8)
sibling:Corporate_Finance | Valuation                                     → Investment_Banking (similar_to, 0.8)
sibling:Corporate_Finance | Mergers_and_Acquisitions                      → Treasury_Management (similar_to, 0.8)
sibling:Corporate_Finance | Mergers_and_Acquisitions                      → IR_Management (similar_to, 0.8)
sibling:Corporate_Finance | Mergers_and_Acquisitions                      → Venture_Capital_Fundraising (similar_to, 0.8)
sibling:Corporate_Finance | Mergers_and_Acquisitions                      → M_and_A_Advisory (similar_to, 0.8)
sibling:Corporate_Finance | Mergers_and_Acquisitions                      → Financial_Modeling (similar_to, 0.8)
sibling:Corporate_Finance | Mergers_and_Acquisitions                      → Investment_Banking (similar_to, 0.8)
sibling:Corporate_Finance | Treasury_Management                           → IR_Management (similar_to, 0.8)
sibling:Corporate_Finance | Treasury_Management                           → M_and_A_Advisory (similar_to, 0.8)
sibling:Corporate_Finance | Treasury_Management                           → Financial_Modeling (similar_to, 0.8)
sibling:Corporate_Finance | Treasury_Management                           → Investment_Banking (similar_to, 0.8)
sibling:Corporate_Finance | IR_Management                                 → Venture_Capital_Fundraising (similar_to, 0.8)
sibling:Corporate_Finance | IR_Management                                 → M_and_A_Advisory (similar_to, 0.8)
sibling:Corporate_Finance | IR_Management                                 → Financial_Modeling (similar_to, 0.8)
sibling:Corporate_Finance | IR_Management                                 → Investment_Banking (similar_to, 0.8)
sibling:Corporate_Finance | Venture_Capital_Fundraising                   → M_and_A_Advisory (similar_to, 0.8)
sibling:Corporate_Finance | Venture_Capital_Fundraising                   → Financial_Modeling (similar_to, 0.8)
sibling:Corporate_Finance | Venture_Capital_Fundraising                   → Investment_Banking (similar_to, 0.8)
sibling:Corporate_Finance | M_and_A_Advisory                              → Financial_Modeling (similar_to, 0.8)
sibling:Corporate_Finance | Financial_Modeling                            → Investment_Banking (similar_to, 0.8)
